target,horizon,strategy_relevance,feature_set,model_family,calibration,selected_on,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
lower_breach_only,24H,IRON_FLY,step11_individuals,tree_depth2,platt,validation_only,842,160,0.19002375296912113,0.1603155780162346,0.02531836640493723,0.5005619895529595,0.5548112170087977,0.206576738355588,0.06912086806817375,-0.26702528061990854,1.0892437242604687
range_continuation,24H,BOTH,step11_individuals,logistic,platt,validation_only,842,68,0.08076009501187649,0.07432071121498213,0.022545576484792162,0.2712984993214696,0.81218650250798,0.27931176667033947,0.053549196970732064,0.13890425703209464,0.7576954069772277
path_inside_70,24H,BOTH,step11_individuals,logistic,platt,validation_only,842,68,0.08076009501187649,0.07432071121498213,0.022545576484792162,0.2712984993214696,0.81218650250798,0.27931176667033947,0.053549196970732064,0.13890425703209464,0.7576954069772277
range_breached,24H,BOTH,step11_individuals,logistic,platt,validation_only,842,774,0.9192399049881235,0.07432071121498213,0.022545576484792162,0.2712984993214696,0.81218650250798,0.9738143639173842,0.05354919697073208,-0.13890425703209458,0.7576954069772277
upper_breach_only,4H,IRON_FLY,step11_individuals,logistic,platt,validation_only,842,282,0.334916864608076,0.21904652251066867,0.0179424340098715,0.6293838354582321,0.5906344984802432,0.4202310738609664,0.007838035373556245,0.04669452720839228,1.0312537795795274
upper_breach_only,1H,IRON_FLY,step11_individuals,logistic,platt,validation_only,842,240,0.2850356294536817,0.2024421722573064,0.011759351461713474,0.5938513910671833,0.5540351605758582,0.31516392567017,0.012678922203519925,0.021386495085424402,0.9610653999546456
range_continuation,2H,BOTH,compact_deredundant,tree_depth2,platt,validation_only,842,40,0.047505938242280284,0.04480319645993419,0.010502672763707088,0.18723542566035423,0.6191084788029925,0.09761212045892959,0.008895801374294987,-0.009801514300238921,0.9153197154427162
path_inside_70,2H,BOTH,compact_deredundant,tree_depth2,platt,validation_only,842,40,0.047505938242280284,0.04480319645993419,0.010502672763707088,0.18723542566035423,0.6191084788029925,0.09761212045892959,0.008895801374294987,-0.009801514300238921,0.9153197154427162
range_breached,2H,BOTH,compact_deredundant,tree_depth2,platt,validation_only,842,802,0.9524940617577197,0.04480319645993419,0.010502672763706644,0.1872354256603543,0.6378117206982543,0.9685941258678229,0.008895801374295055,0.009801514300239228,0.9153197154427146
upper_breach_only,2H,IRON_FLY,step11_individuals,logistic,platt,validation_only,842,264,0.31353919239904987,0.21419202123217293,0.006570246711190775,0.6194216975822218,0.542400650099612,0.34256084085858596,0.0046994659142200815,-0.011020826626836573,1.013329110050347
upper_breach_only,8H,IRON_FLY,step12_interactions,tree_depth2,platt,validation_only,842,272,0.32304038004750596,0.21867805017548475,0.004919324126053337,0.6291233852491724,0.5520575335397316,0.3203433231819061,0.002549679519870285,0.007510960426664218,0.9947466362082622
lower_breach_only,8H,IRON_FLY,compact_deredundant,logistic,platt,validation_only,842,225,0.2672209026128266,0.19882574252705618,0.002081361635526413,0.5868801470569118,0.5543598055105349,0.30647397723813374,0.04856625371029999,-0.19633643287024125,0.9917362824331971
upper_breach_only,12H,IRON_FLY,step12_interactions,tree_depth2,platt,validation_only,842,263,0.31235154394299286,0.2151558124690138,0.0006961136160059667,0.6218457801814472,0.5389389073858823,0.29418830295684734,0.019187402884600357,0.05081189857191144,0.9552860928023155
range_continuation,1H,BOTH,step11_individuals,logistic,none,validation_only,842,37,0.043942992874109264,0.042018330915635935,-0.00012069118430813042,0.17523654824024434,0.6517710256840692,0.11831478689917023,0.007053038522560812,-0.0380945345855397,1.026705512185441
path_inside_70,1H,BOTH,step11_individuals,logistic,none,validation_only,842,37,0.043942992874109264,0.042018330915635935,-0.00012069118430813042,0.17523654824024434,0.6517710256840692,0.11831478689917023,0.007053038522560812,-0.0380945345855397,1.026705512185441
range_breached,1H,BOTH,step11_individuals,logistic,none,validation_only,842,805,0.9560570071258907,0.04201833091563594,-0.00012069118430813042,0.17523654824024432,0.6517710256840692,0.9741169423915316,0.007053038522560901,0.03809453458553968,1.0267055121854411
upper_breach_only,24H,IRON_FLY,step12_interactions,tree_depth2,platt,validation_only,842,240,0.2850356294536817,0.20450017700295967,-0.0032711769708015925,0.5993474262623472,0.5457225913621262,0.3033270562155223,0.03400925416990769,-0.09668672520002736,1.0846428516441067
lower_breach_only,2H,IRON_FLY,compact_deredundant,logistic,platt,validation_only,842,252,0.2992874109263658,0.21209160139329164,-0.003373860086858249,0.6161706494762308,0.5156174334140435,0.3235000380868231,0.025887331192966868,-0.10883139927887248,0.9146515153626517
lower_breach_only,1H,IRON_FLY,compact_deredundant,logistic,platt,validation_only,842,255,0.3028503562945368,0.21262155074886535,-0.0053862666783712765,0.6160954429325808,0.5260914587299996,0.3110507177735095,0.02255781534956826,-0.10583418081456852,0.9703043868474114
lower_breach_only,4H,IRON_FLY,step11_individuals,tree_depth2,platt,validation_only,842,247,0.29334916864608074,0.21183976428800325,-0.006896900645680049,0.6149406577414674,0.4837886571632702,0.3104590013329547,0.03191785845960852,-0.1585692927631515,0.944395848741748
