feature,family,cluster,target,horizon,n,base_rate,auc,auc_oriented,pr_auc,pearson,spearman,top_bottom_spread,top_lift,bottom_lift,monotonic_steps,temporal_stable,temporal_min_abs_auc_edge,regime_support_count,direction,incremental_brier_improvement,cluster_rank,research_score
volume_z_6b,Volume,volume,mean_reversion_occurred,2H,4205,0.4035671819262782,0.5171853134201551,0.5171853134201551,0.4248960892236717,0.03129189836111995,0.029206988487438214,0.03210463733650415,0.02806183115338884,-0.004042806183115311,0,True,0.008186409711546272,3,higher_increases_target,0.0006728848087609318,9.0,55.376
ema_dist_48b,Trend,trend,down_excursion_ge_1_0_atr,24H,4206,0.9384213029006182,0.46832499733437155,0.5316750026656285,0.926161348291793,-0.057100801583069745,-0.02637676149059003,-0.014339337006899933,-0.012143062710368469,0.002196274296531464,0,True,0.003725242899850545,4,lower_increases_target,0.00016036412362554348,27.0,55.373
price_efficiency_6b,State,state,oscillatory_path,1H,4205,0.4418549346016647,0.5114206900410619,0.5114206900410619,0.4495364544924926,0.019290117361847766,0.01964714828121419,0.04756242568370983,0.013555291319857277,-0.034007134363852554,2,True,0.0019492996922266803,1,higher_increases_target,0.0006330400177439188,1.0,55.371
adx_14b,Trend,trend,mean_reversion_occurred,1H,4206,0.29481692819781263,0.47899935831901336,0.5210006416809867,0.27908625854165336,-0.03652298048763017,-0.033170372437464186,-0.047181135454060164,-0.02133298051648086,0.025848154937579304,-2,True,0.0070075651963791286,3,lower_increases_target,0.00044484005500169954,14.0,55.367
rsi_slope_24b,Momentum,momentum,range_held,8H,4181,0.05285816790241569,0.5348153480506421,0.5348153480506421,0.06058338960791166,0.03209946592020578,0.026985156363510922,0.017991173763669523,0.005754272288971872,-0.01223690147469765,2,True,0.007354177172634091,4,higher_increases_target,6.029693912679851e-05,26.0,55.365
rsi_slope_24b,Momentum,momentum,path_inside_70,8H,4181,0.05285816790241569,0.5348153480506421,0.5348153480506421,0.06058338960791166,0.03209946592020578,0.026985156363510922,0.017991173763669523,0.005754272288971872,-0.01223690147469765,2,True,0.007354177172634091,4,higher_increases_target,6.029693912679851e-05,26.0,55.365
rsi_slope_24b,Momentum,momentum,range_breached,8H,4181,0.9471418320975843,0.4651846519493578,0.5348153480506421,0.9414018599889458,-0.03209946592020579,-0.026985156363510922,-0.017991173763669543,-0.005754272288971851,0.012236901474697692,-2,True,0.0073541771726340355,4,lower_increases_target,6.029693912680545e-05,26.0,55.365
donchian_pos_96b,Price Structure,price_structure,trend_efficiency_high,2H,4206,0.16951973371374227,0.474921793095307,0.525078206904693,0.16033634483664996,-0.03394837097251858,-0.03259581968213658,-0.03782540296728529,-0.01850903216796343,0.019316370799321858,-2,True,0.02126876239025771,3,lower_increases_target,0.00045580073373299723,9.0,55.356
plus_di_14b,Trend,trend,range_breached,12H,4206,0.9448407037565383,0.4699409307047533,0.5300590692952467,0.9349931100666918,-0.03133973903727829,-0.023771403311698622,-0.015522748904849726,-0.014995281640010294,0.0005274672648394318,0,True,0.012303650287886436,4,lower_increases_target,0.00017910478697600457,31.0,55.355
plus_di_14b,Trend,trend,path_inside_70,12H,4206,0.05515929624346172,0.5300590692952467,0.5300590692952467,0.06998389445186301,0.03133973903727829,0.023771403311698622,0.015522748904849726,0.014995281640010336,-0.0005274672648393902,0,True,0.01230365028788638,4,higher_increases_target,0.0001791047869760115,31.0,55.355
plus_di_14b,Trend,trend,range_held,12H,4206,0.05515929624346172,0.5300590692952467,0.5300590692952467,0.06998389445186301,0.03133973903727829,0.023771403311698622,0.015522748904849726,0.014995281640010336,-0.0005274672648393902,0,True,0.01230365028788638,4,higher_increases_target,0.0001791047869760115,31.0,55.355
mfi_96b,Volume,volume,path_inside_70,4H,4181,0.04353025591963645,0.5280509687861525,0.5280509687861525,0.07648551739007314,0.02350253926560586,0.019827580823594215,0.017995461119399994,0.018670701018162594,0.0006752398987626002,-2,True,0.0005937810523254372,4,higher_increases_target,0.00019404810370497738,15.0,55.35
mfi_96b,Volume,volume,range_breached,4H,4181,0.9564697440803636,0.4719490312138474,0.5280509687861525,0.9448819046137116,-0.02350253926560586,-0.019827580823594215,-0.01799546111939998,-0.018670701018162594,-0.000675239898762614,2,True,0.0005937810523254372,4,lower_increases_target,0.00019404810370497738,15.0,55.35
mfi_96b,Volume,volume,range_held,4H,4181,0.04353025591963645,0.5280509687861525,0.5280509687861525,0.07648551739007314,0.02350253926560586,0.019827580823594215,0.017995461119399994,0.018670701018162594,0.0006752398987626002,-2,True,0.0005937810523254372,4,higher_increases_target,0.00019404810370497738,15.0,55.35
keltner_width_48b,Volatility,volatility,down_excursion_ge_1_0_atr,8H,4181,0.8847165749820617,0.48579856168371177,0.5142014383162883,0.8799462304657869,-0.01366185896034745,-0.015711168430263114,-0.02526252908256299,-0.02945341708732485,-0.004190888004761861,0,True,0.003590205003352054,4,lower_increases_target,0.00039778381924475414,41.0,55.344
rv_slope_24b,Volatility,volatility,mean_reversion_occurred,24H,4206,0.7218259629101283,0.4801352431787214,0.5198647568212786,0.7116105091099724,-0.03478148202971509,-0.030835318195111375,-0.049046633207272095,-0.019091123433314983,0.029955509773957112,-2,True,0.001102765855984733,3,lower_increases_target,0.00044606819499007355,38.0,55.338
ema_spread_12_48b,Trend,trend,one_sided_runaway,2H,4206,0.16880646695197338,0.46586481129338964,0.5341351887066104,0.15723660177748183,-0.04152719737947558,-0.044293353387706375,-0.04970753627199831,-0.022552007974565524,0.027155528297432785,-2,True,0.02383832159959226,2,lower_increases_target,0.0005532580914242025,9.0,55.33
tema_dist_48b,Trend,trend,fast_1atr_touch,1H,4206,0.9762244412743699,0.46070628348757914,0.5392937165124209,0.97305219728527,-0.023021273029482484,-0.020737382917944747,-0.008341782913113827,-5.654116224884653e-06,0.008336128796888942,0,True,0.013888450988428891,6,lower_increases_target,6.321669972738156e-05,14.0,55.325
rv_slope_12b,Volatility,volatility,downside_breakdown_occurred,2H,4206,0.6314788397527342,0.5215779246016323,0.5215779246016323,0.6545790608541748,0.017660263523106127,0.03605877117813088,0.038785689471588225,0.026071695324554667,-0.012713994147033558,2,True,0.007506629360590655,3,higher_increases_target,0.0005130019710931077,32.0,55.324
atr_96b,Volatility,volatility,mean_reversion_occurred,8H,4181,0.6094235828749103,0.4500889714781763,0.5499110285218237,0.5754845981097855,-0.08743352046338113,-0.08435285628910012,-0.07337094773427544,-0.02090683646342706,0.05246411127084838,0,False,0.016327824427718185,4,lower_increases_target,0.002927196242529073,7.0,55.319
sma_dist_12b,Trend,trend,trend_continuation_occurred,1H,4206,0.3226343319067998,0.48866478380111394,0.511335216198886,0.32382045830690626,-0.004201375680731072,-0.01835639199499227,-0.030487684325582298,0.00673546595289104,0.03722315027847334,0,True,0.006601206237128565,2,lower_increases_target,0.001245890797050564,20.0,55.316
macd_hist_slope_12_48b,Momentum,momentum,up_excursion_ge_1_0_atr,4H,4181,0.831858407079646,0.5276372434902745,0.5276372434902745,0.8360916026003354,0.03757557181709664,0.03580532697146645,0.046394905478097326,0.0006774780878181508,-0.045717427390279175,2,True,0.011687304235824425,2,higher_increases_target,0.00071368560050597,26.0,55.304
keltner_width_20b,Volatility,volatility,oscillatory_path,12H,4206,0.44650499286733236,0.4799628726912084,0.5200371273087916,0.4456755730861988,-0.008752746552375285,-0.034506118263375546,-0.052918847317270146,-0.004174434008830552,0.048744413308439594,0,False,0.006078293870142748,4,lower_increases_target,0.0015918892787885885,3.0,55.299
sma_dist_6b,Trend,trend,max_abs_excursion_ge_1_5_atr,2H,4206,0.9679029957203994,0.46460147201979674,0.5353985279802033,0.9629200788710308,-0.025031665732475946,-0.02161344550268068,-0.015491680812063424,-0.011898239477830974,0.00359344133423245,0,True,0.0077635327635327545,4,lower_increases_target,6.688679690721247e-05,37.0,55.298
dema_dist_24b,Trend,trend,downside_breakdown_occurred,2H,4206,0.6314788397527342,0.5264569568596968,0.5264569568596968,0.6472079173128978,0.04211501494207606,0.04421209968456929,0.049467464645922554,0.020126392114090952,-0.029341072531831602,3,True,0.01743077324973874,2,higher_increases_target,0.0007059871136413098,19.0,55.298
