feature,target,horizon,blocks,stable_sign,min_abs_auc_edge,edges
atr_12b,upside_breakout_occurred,24H,3,True,0.16418530019877542,"[-0.2519964836468395, -0.16418530019877542, -0.22642912073827226]"
atr_12b,range_breached,8H,3,True,0.29837953591442756,"[-0.29837953591442756, -0.3182940410152967, -0.3000155872496298]"
atr_12b,path_inside_70,8H,3,True,0.29837953591442756,"[0.29837953591442756, 0.3182940410152967, 0.30001558724962984]"
atr_12b,range_held,8H,3,True,0.29837953591442756,"[0.29837953591442756, 0.3182940410152967, 0.30001558724962984]"
keltner_width_20b,realized_over_range_width_ge_1,12H,3,True,0.2887730951290273,"[-0.2965871094200392, -0.2940735742577728, -0.2887730951290273]"
obv_slope_24b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49785867237687365,[-0.49785867237687365]
mfi_96b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.35857860732232594,"[-0.4870689655172414, -0.4798994974874372, -0.35857860732232594]"
atr_slope_96b,range_breached,12H,3,True,0.2733128934407515,"[-0.32035887975851085, -0.2733128934407515, -0.27732580398162326]"
atr_slope_96b,path_inside_70,12H,3,True,0.2733128934407515,"[0.32035887975851085, 0.2733128934407515, 0.2773258039816233]"
atr_slope_96b,range_held,12H,3,True,0.2733128934407515,"[0.32035887975851085, 0.2733128934407515, 0.2773258039816233]"
atr_24b,upside_breakout_occurred,24H,3,True,0.16105731490868835,"[-0.24900546517539401, -0.16105731490868835, -0.2234958069359505]"
tema_dist_6b,up_excursion_ge_1_0_atr,1H,3,True,0.20913627296793458,"[0.21083722813892147, 0.21855890873589323, 0.20913627296793458]"
adx_14b,fast_1atr_touch,4H,1,True,0.4978448275862069,[-0.4978448275862069]
dema_dist_6b,up_excursion_ge_1_0_atr,1H,3,True,0.20134669807729533,"[0.21123783671369623, 0.21847470625851984, 0.20134669807729533]"
atr_slope_96b,path_inside_70,8H,3,True,0.27871280887544125,"[0.2945068291747459, 0.27871280887544125, 0.2897280024939599]"
atr_slope_96b,range_breached,8H,3,True,0.27871280887544125,"[-0.2945068291747459, -0.27871280887544125, -0.2897280024939599]"
