interaction,target,horizon,thirds,min_n,lifts,chronologically_stable
bb_compressed_and_high_efficiency,max_abs_excursion_ge_1_5_atr,2H,3,69,"0.0314,0.0170,-0.0012",False
bb_compressed_and_high_efficiency,max_abs_excursion_ge_1_5_atr,4H,3,69,"0.0064,0.0071,0.0029",True
bb_compressed_and_high_efficiency,max_abs_excursion_ge_1_5_atr,8H,3,69,"0.0007,0.0007,0.0007",True
bb_compressed_and_high_efficiency,one_sided_runaway,12H,3,69,"-0.0494,0.0283,-0.0358",False
bb_compressed_and_high_efficiency,one_sided_runaway,1H,3,69,"-0.0657,-0.0127,0.0393",False
bb_compressed_and_high_efficiency,one_sided_runaway,24H,3,69,"-0.1320,0.0446,-0.0501",False
bb_compressed_and_high_efficiency,one_sided_runaway,2H,3,69,"-0.0587,0.0221,0.0279",False
bb_compressed_and_high_efficiency,one_sided_runaway,4H,3,69,"-0.0793,0.0813,0.0108",False
bb_compressed_and_high_efficiency,one_sided_runaway,8H,3,69,"-0.0644,0.1210,-0.0579",False
bb_compressed_and_high_efficiency,oscillatory_path,12H,3,69,"0.1091,0.0162,-0.1348",False
bb_compressed_and_high_efficiency,oscillatory_path,1H,3,69,"0.0763,0.0554,0.0223",True
bb_compressed_and_high_efficiency,oscillatory_path,24H,3,69,"0.1468,0.0419,0.0684",True
bb_compressed_and_high_efficiency,oscillatory_path,2H,3,69,"0.0592,-0.0471,0.0006",False
bb_compressed_and_high_efficiency,oscillatory_path,4H,3,69,"0.1233,-0.1188,-0.0652",False
bb_compressed_and_high_efficiency,oscillatory_path,8H,3,69,"0.1489,-0.0862,-0.0003",False
bb_compressed_and_high_efficiency,path_inside_70,12H,3,69,"-0.0478,-0.0416,-0.0347",True
bb_compressed_and_high_efficiency,path_inside_70,1H,3,69,"0.0006,-0.0382,-0.0190",False
bb_compressed_and_high_efficiency,path_inside_70,24H,3,69,"-0.0456,-0.0610,-0.0292",True
bb_compressed_and_high_efficiency,path_inside_70,2H,3,69,"-0.0449,-0.0217,-0.0226",True
bb_compressed_and_high_efficiency,path_inside_70,4H,3,69,"-0.0442,-0.0308,-0.0269",True
bb_compressed_and_high_efficiency,path_inside_70,8H,3,69,"-0.0506,-0.0355,-0.0514",True
bb_compressed_and_high_efficiency,range_breached,12H,3,69,"0.0478,0.0416,0.0347",True
bb_compressed_and_high_efficiency,range_breached,1H,3,69,"-0.0006,0.0382,0.0190",False
bb_compressed_and_high_efficiency,range_breached,24H,3,69,"0.0456,0.0610,0.0292",True
bb_compressed_and_high_efficiency,range_breached,2H,3,69,"0.0449,0.0217,0.0226",True
bb_compressed_and_high_efficiency,range_breached,4H,3,69,"0.0442,0.0308,0.0269",True
bb_compressed_and_high_efficiency,range_breached,8H,3,69,"0.0506,0.0355,0.0514",True
bb_compressed_and_high_efficiency,range_held,12H,3,69,"-0.0478,-0.0416,-0.0347",True
bb_compressed_and_high_efficiency,range_held,1H,3,69,"0.0006,-0.0382,-0.0190",False
bb_compressed_and_high_efficiency,range_held,24H,3,69,"-0.0456,-0.0610,-0.0292",True
bb_compressed_and_high_efficiency,range_held,2H,3,69,"-0.0449,-0.0217,-0.0226",True
bb_compressed_and_high_efficiency,range_held,4H,3,69,"-0.0442,-0.0308,-0.0269",True
bb_compressed_and_high_efficiency,range_held,8H,3,69,"-0.0506,-0.0355,-0.0514",True
bb_compressed_and_high_efficiency,realized_over_range_width_ge_1,12H,3,69,"0.1262,0.0979,0.1196",True
bb_compressed_and_high_efficiency,realized_over_range_width_ge_1,1H,3,69,"0.0636,0.0613,0.0343",True
bb_compressed_and_high_efficiency,realized_over_range_width_ge_1,24H,3,69,"0.1127,0.1119,0.0884",True
bb_compressed_and_high_efficiency,realized_over_range_width_ge_1,2H,3,69,"0.1355,0.0705,-0.0137",False
bb_compressed_and_high_efficiency,realized_over_range_width_ge_1,4H,3,69,"0.0793,0.0777,0.1027",True
bb_compressed_and_high_efficiency,realized_over_range_width_ge_1,8H,3,69,"0.1206,0.0941,0.1405",True
bb_compressed_and_high_efficiency,trend_efficiency_high,12H,3,69,"-0.0494,0.0283,-0.0358",False
bb_compressed_and_high_efficiency,trend_efficiency_high,1H,3,69,"-0.0772,-0.0153,0.0329",False
bb_compressed_and_high_efficiency,trend_efficiency_high,24H,3,69,"-0.1320,0.0446,-0.0501",False
bb_compressed_and_high_efficiency,trend_efficiency_high,2H,3,69,"-0.0587,0.0207,0.0272",False
bb_compressed_and_high_efficiency,trend_efficiency_high,4H,3,69,"-0.0793,0.0813,0.0108",False
bb_compressed_and_high_efficiency,trend_efficiency_high,8H,3,69,"-0.0644,0.1210,-0.0579",False
bb_compressed_and_high_efficiency,upside_breakout_occurred,12H,3,69,"0.2791,0.0462,-0.0022",False
bb_compressed_and_high_efficiency,upside_breakout_occurred,1H,3,69,"0.0903,0.0282,-0.0121",False
bb_compressed_and_high_efficiency,upside_breakout_occurred,24H,3,69,"0.2342,0.1148,-0.0034",False
bb_compressed_and_high_efficiency,upside_breakout_occurred,2H,3,69,"0.1281,0.0229,-0.0651",False
bb_compressed_and_high_efficiency,upside_breakout_occurred,4H,3,69,"0.2214,0.0112,0.0240",True
bb_compressed_and_high_efficiency,upside_breakout_occurred,8H,3,69,"0.2363,0.0298,0.0858",True
bb_compressed_and_high_volume,downside_breakdown_occurred,12H,3,55,"0.0179,0.0406,-0.1268",False
bb_compressed_and_high_volume,downside_breakdown_occurred,1H,3,55,"0.0339,0.1140,0.0622",True
bb_compressed_and_high_volume,downside_breakdown_occurred,24H,3,55,"0.0687,0.0560,0.0871",True
bb_compressed_and_high_volume,downside_breakdown_occurred,2H,3,55,"0.1011,0.0897,0.0123",True
bb_compressed_and_high_volume,downside_breakdown_occurred,4H,3,55,"0.0640,0.0849,-0.0986",False
bb_compressed_and_high_volume,downside_breakdown_occurred,8H,3,55,"0.0582,0.0485,-0.1296",False
bb_compressed_and_high_volume,fast_1atr_touch,1H,3,55,"-0.0111,0.0251,0.0164",False
bb_compressed_and_high_volume,fast_1atr_touch,2H,3,55,"0.0043,0.0044,0.0021",True
bb_compressed_and_high_volume,fast_1atr_touch,4H,3,55,"0.0000,0.0014,0.0000",True
bb_compressed_and_high_volume,max_abs_excursion_ge_1_5_atr,12H,3,55,"0.0007,0.0000,0.0000",True
bb_compressed_and_high_volume,max_abs_excursion_ge_1_5_atr,1H,3,55,"0.0326,0.1047,0.0567",True
bb_compressed_and_high_volume,max_abs_excursion_ge_1_5_atr,2H,3,55,"0.0144,0.0230,0.0096",True
bb_compressed_and_high_volume,max_abs_excursion_ge_1_5_atr,4H,3,55,"0.0064,0.0071,0.0029",True
bb_compressed_and_high_volume,max_abs_excursion_ge_1_5_atr,8H,3,55,"0.0007,0.0007,0.0007",True
bb_compressed_and_high_volume,one_sided_runaway,12H,3,55,"0.0936,0.0386,0.0448",True
bb_compressed_and_high_volume,one_sided_runaway,1H,3,55,"0.0140,-0.0061,-0.0036",False
bb_compressed_and_high_volume,one_sided_runaway,24H,3,55,"0.0242,0.0555,-0.0967",False
bb_compressed_and_high_volume,one_sided_runaway,2H,3,55,"-0.1021,-0.0182,0.0395",False
bb_compressed_and_high_volume,one_sided_runaway,4H,3,55,"-0.0504,0.0379,0.0769",False
bb_compressed_and_high_volume,one_sided_runaway,8H,3,55,"0.0745,-0.0338,0.0481",False
bb_compressed_and_high_volume,oscillatory_path,12H,3,55,"-0.1202,-0.0012,-0.0647",True
bb_compressed_and_high_volume,oscillatory_path,1H,3,55,"0.0042,0.0662,0.0130",True
bb_compressed_and_high_volume,oscillatory_path,24H,3,55,"0.0573,0.0332,0.2120",True
bb_compressed_and_high_volume,oscillatory_path,2H,3,55,"0.0636,-0.0075,0.0241",False
bb_compressed_and_high_volume,oscillatory_path,4H,3,55,"-0.0001,-0.0476,-0.0929",True
bb_compressed_and_high_volume,oscillatory_path,8H,3,55,"-0.0977,0.0021,-0.0896",False
bb_compressed_and_high_volume,path_inside_70,12H,3,55,"-0.0478,-0.0473,-0.0492",True
bb_compressed_and_high_volume,path_inside_70,1H,3,55,"-0.0506,-0.0309,-0.0335",True
bb_compressed_and_high_volume,path_inside_70,24H,3,55,"-0.0456,-0.0607,-0.0292",True
bb_compressed_and_high_volume,path_inside_70,2H,3,55,"-0.0280,-0.0344,-0.0189",True
bb_compressed_and_high_volume,path_inside_70,4H,3,55,"-0.0273,-0.0372,-0.0414",True
bb_compressed_and_high_volume,path_inside_70,8H,3,55,"-0.0506,-0.0486,-0.0332",True
bb_compressed_and_high_volume,range_breached,12H,3,55,"0.0478,0.0473,0.0492",True
bb_compressed_and_high_volume,range_breached,1H,3,55,"0.0506,0.0309,0.0335",True
bb_compressed_and_high_volume,range_breached,24H,3,55,"0.0456,0.0607,0.0292",True
bb_compressed_and_high_volume,range_breached,2H,3,55,"0.0280,0.0344,0.0189",True
bb_compressed_and_high_volume,range_breached,4H,3,55,"0.0273,0.0372,0.0414",True
bb_compressed_and_high_volume,range_breached,8H,3,55,"0.0506,0.0486,0.0332",True
bb_compressed_and_high_volume,range_held,12H,3,55,"-0.0478,-0.0473,-0.0492",True
bb_compressed_and_high_volume,range_held,1H,3,55,"-0.0506,-0.0309,-0.0335",True
bb_compressed_and_high_volume,range_held,24H,3,55,"-0.0456,-0.0607,-0.0292",True
bb_compressed_and_high_volume,range_held,2H,3,55,"-0.0280,-0.0344,-0.0189",True
bb_compressed_and_high_volume,range_held,4H,3,55,"-0.0273,-0.0372,-0.0414",True
bb_compressed_and_high_volume,range_held,8H,3,55,"-0.0506,-0.0486,-0.0332",True
bb_compressed_and_high_volume,realized_over_range_width_ge_1,12H,3,55,"0.1262,0.1231,0.1341",True
bb_compressed_and_high_volume,realized_over_range_width_ge_1,1H,3,55,"0.0558,0.0932,0.0667",True
bb_compressed_and_high_volume,realized_over_range_width_ge_1,24H,3,55,"0.1127,0.0821,0.0884",True
bb_compressed_and_high_volume,realized_over_range_width_ge_1,2H,3,55,"0.0806,0.0884,0.0403",True
bb_compressed_and_high_volume,realized_over_range_width_ge_1,4H,3,55,"0.1095,0.0814,0.0735",True
bb_compressed_and_high_volume,realized_over_range_width_ge_1,8H,3,55,"0.1334,0.1119,-0.0049",False
bb_compressed_and_high_volume,trend_efficiency_high,12H,3,55,"0.0936,0.0386,0.0448",True
bb_compressed_and_high_volume,trend_efficiency_high,1H,3,55,"0.0365,-0.0083,0.0263",False
bb_compressed_and_high_volume,trend_efficiency_high,24H,3,55,"0.0242,0.0555,-0.0967",False
bb_compressed_and_high_volume,trend_efficiency_high,2H,3,55,"-0.1021,-0.0196,0.0388",False
bb_compressed_and_high_volume,trend_efficiency_high,4H,3,55,"-0.0504,0.0379,0.0769",False
bb_compressed_and_high_volume,trend_efficiency_high,8H,3,55,"0.0745,-0.0338,0.0481",False
bb_compressed_and_high_volume,upside_breakout_occurred,12H,3,55,"0.1233,0.1380,0.1894",True
bb_compressed_and_high_volume,upside_breakout_occurred,1H,3,55,"0.1520,0.0891,0.1320",True
bb_compressed_and_high_volume,upside_breakout_occurred,24H,3,55,"0.1636,0.0918,0.1848",True
bb_compressed_and_high_volume,upside_breakout_occurred,2H,3,55,"0.1431,0.0624,0.1188",True
bb_compressed_and_high_volume,upside_breakout_occurred,4H,3,55,"0.1256,0.0363,0.1755",True
bb_compressed_and_high_volume,upside_breakout_occurred,8H,3,55,"0.0810,0.1128,0.1648",True
