target,horizon,feature,model_family,feature_set,permutation_brier_increase,test_brier_skill
path_inside_70,2H,price_efficiency_96b,tree_depth2,compact_deredundant,0.0,0.010502672763707088
path_inside_70,2H,rolling_vwap_z_96b,tree_depth2,compact_deredundant,0.0,0.010502672763707088
path_inside_70,2H,volume_z_96b,tree_depth2,compact_deredundant,0.0,0.010502672763707088
path_inside_70,2H,high_atr_pct_and_rising_atr_slope,tree_depth2,compact_deredundant,0.0,0.010502672763707088
path_inside_70,2H,ema_spread_high_and_rising_atr,tree_depth2,compact_deredundant,0.0,0.010502672763707088
path_inside_70,2H,low_vwap_displacement_and_low_atr,tree_depth2,compact_deredundant,0.0,0.010502672763707088
path_inside_70,2H,rising_atr_and_high_volume,tree_depth2,compact_deredundant,0.0,0.010502672763707088
path_inside_70,2H,low_atr_pct_and_falling_atr_slope,tree_depth2,compact_deredundant,0.0,0.010502672763707088
path_inside_70,4H,atr_slope_96b,tree_depth2,step11_individuals,-0.0003940872859236888,0.04283684958460943
path_inside_70,4H,rv_slope_96b,tree_depth2,step11_individuals,0.0,0.04283684958460943
path_inside_70,4H,atr_pct_12b,tree_depth2,step11_individuals,3.2294829036966233e-06,0.04283684958460943
path_inside_70,4H,bollinger_bandwidth_20b,tree_depth2,step11_individuals,0.00035339048440107684,0.04283684958460943
path_inside_70,4H,keltner_width_20b,tree_depth2,step11_individuals,0.0,0.04283684958460943
path_inside_70,4H,rv_12b,tree_depth2,step11_individuals,0.0,0.04283684958460943
path_inside_70,4H,price_efficiency_96b,tree_depth2,step11_individuals,0.0,0.04283684958460943
path_inside_70,4H,rolling_vwap_z_96b,tree_depth2,step11_individuals,0.0,0.04283684958460943
path_inside_70,4H,donchian_pos_96b,tree_depth2,step11_individuals,0.0,0.04283684958460943
path_inside_70,4H,volume_z_96b,tree_depth2,step11_individuals,0.0,0.04283684958460943
path_inside_70,8H,high_atr_pct_and_rising_atr_slope,tree_depth2,step12_interactions,0.000678290424996425,0.05157445097980351
path_inside_70,8H,ema_spread_high_and_rising_atr,tree_depth2,step12_interactions,0.0,0.05157445097980351
path_inside_70,8H,low_vwap_displacement_and_low_atr,tree_depth2,step12_interactions,0.0,0.05157445097980351
path_inside_70,8H,high_vwap_displacement_and_rising_atr,tree_depth2,step12_interactions,0.0,0.05157445097980351
path_inside_70,8H,low_atr_and_mid_donchian,tree_depth2,step12_interactions,0.0,0.05157445097980351
path_inside_70,8H,rising_atr_and_high_volume,tree_depth2,step12_interactions,0.0,0.05157445097980351
path_inside_70,8H,low_atr_pct_and_falling_atr_slope,tree_depth2,step12_interactions,0.0,0.05157445097980351
path_inside_70,8H,low_adx_and_falling_atr,tree_depth2,step12_interactions,0.0,0.05157445097980351
path_inside_70,12H,atr_slope_96b,logistic,all_step13,0.00015123919335291447,0.03413222917360503
path_inside_70,12H,rv_slope_96b,logistic,all_step13,-1.9679501202379823e-06,0.03413222917360503
path_inside_70,12H,atr_pct_12b,logistic,all_step13,0.00015006479950384344,0.03413222917360503
path_inside_70,12H,bollinger_bandwidth_20b,logistic,all_step13,0.00040258944505910943,0.03413222917360503
path_inside_70,12H,keltner_width_20b,logistic,all_step13,7.524129556699122e-05,0.03413222917360503
