target,horizon,regime,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
range_breached,1H,NORMAL_RANGE,176,168,0.9545454545454546,0.04397943563267554,-0.013459543891576997,0.1907541873328557,0.4114583333333333,0.9502233254190916,0.00661773613748865,0.047393459219761076,1.009258263326041
range_breached,2H,LOW_VOL_RANGE,579,558,0.9637305699481865,0.035355158477644914,-0.010507424536568832,0.16000077331553944,0.561699948796723,0.968744492925856,2.044853012495018e-05,0.04074912848566362,0.9489325171815712
range_breached,2H,NORMAL_RANGE,176,165,0.9375,0.05739919722147005,0.02732020612568653,0.22475834560243044,0.6644628099173554,0.9676128985944394,0.023532867294428716,-0.058073846839025244,0.8531392043821034
range_breached,4H,LOW_VOL_RANGE,579,562,0.9706390328151986,0.02923347393749597,-0.018806906136492607,0.1567729523029218,0.5153862256646431,0.972534592071076,0.008239983655463634,0.07802890120829821,0.7619909979823634
range_breached,4H,NORMAL_RANGE,176,168,0.9545454545454546,0.04240679726371931,0.02272665381005945,0.17104856810602265,0.7306547619047619,0.9852392508860939,0.01916052430772841,-0.04432888774773306,0.8146930476953671
range_breached,8H,LOW_VOL_RANGE,579,554,0.9568221070811744,0.040479926751786945,0.02149637859416975,0.17391552539134886,0.5293862815884477,0.9697821193944816,0.014005210542639701,-0.03780291601465507,0.8931752303008329
range_breached,8H,NORMAL_RANGE,176,160,0.9090909090909091,0.08106775692279343,0.03795861191716543,0.3124149011878731,0.50703125,0.9644797478352366,0.054571060679657224,-0.13360515006091153,0.7345337049950725
range_breached,12H,LOW_VOL_RANGE,579,554,0.9568221070811744,0.03777554087081534,0.08607085204795217,0.14849993488300817,0.9048375451263538,0.9951895797443099,0.001455640950767445,-0.06663913259649099,1.0981747070342538
range_breached,12H,NORMAL_RANGE,176,159,0.9034090909090909,0.08623946118210729,0.03816313866251031,0.306840038979402,0.7439881613022568,0.9596603966377724,0.04658985883412485,-0.1181123689091236,0.8446271682048071
range_breached,24H,LOW_VOL_RANGE,579,546,0.9430051813471503,0.05208857126098924,0.03706155567374869,0.20532306951504897,0.7706737706737706,0.975944564252739,0.03048075881636869,-0.11318965550980427,0.820673992109825
range_breached,24H,NORMAL_RANGE,176,160,0.9090909090909091,0.0829822448332838,0.02836964672054343,0.3068583632954108,0.8,0.9728699384616899,0.06302108787360378,-0.1701619156024733,0.7341475306242764
realized_over_range_width_ge_1,1H,LOW_VOL_RANGE,579,514,0.8877374784110535,0.09678118297288543,0.03252866933993814,0.33942286567014573,0.6372642921281053,0.924180394089993,0.004958096172985042,0.02301496139582221,0.9933897846390682
realized_over_range_width_ge_1,1H,NORMAL_RANGE,176,147,0.8352272727272727,0.13459560388879319,0.029734255608286464,0.4331271012213365,0.6645554773633592,0.9053818180177826,0.05058162974964646,-0.06850147920825743,0.8812132091355421
realized_over_range_width_ge_1,2H,LOW_VOL_RANGE,579,518,0.8946459412780656,0.08986186473092804,0.05811036137740777,0.3172615480028599,0.7026710551300716,0.9425868300152885,0.023874231385255486,0.02812645882468481,1.1095925062742704
realized_over_range_width_ge_1,2H,NORMAL_RANGE,176,148,0.8409090909090909,0.11888349326602254,0.11395524545965507,0.38331283670431354,0.7888513513513513,0.9516930555650313,0.013380121114545021,-0.17014798665523623,1.100852566426239
realized_over_range_width_ge_1,4H,LOW_VOL_RANGE,579,508,0.8773747841105354,0.09904290599949502,0.08272330185878407,0.33383930012663465,0.7488632582898969,0.9471001133607072,0.009612999323494287,-0.037403960321068144,1.0675085538776117
realized_over_range_width_ge_1,4H,NORMAL_RANGE,176,150,0.8522727272727273,0.11154395495896469,0.11426302030744795,0.35522431779973174,0.8453846153846154,0.9713517067654645,0.08263805487651613,-0.10452423139622867,1.1695775756470612
realized_over_range_width_ge_1,8H,LOW_VOL_RANGE,579,500,0.8635578583765112,0.1118640748439595,0.05064604324962951,0.3791215508393261,0.5629620253164557,0.9032990256018927,0.025222413662213082,-0.1165052170983828,0.9695432492424232
realized_over_range_width_ge_1,8H,NORMAL_RANGE,176,143,0.8125,0.14427225616676148,0.07046505880686849,0.45836849948575775,0.520449247721975,0.9441894820321488,0.06193574859860036,-0.22917324979538187,0.902739078598547
realized_over_range_width_ge_1,12H,LOW_VOL_RANGE,579,511,0.8825561312607945,0.08713998697214043,0.1597314020705497,0.29926945524973886,0.8418614020950846,0.9652969763258207,0.05440139043103057,-0.15629076555521484,1.1914861019637244
realized_over_range_width_ge_1,12H,NORMAL_RANGE,176,141,0.8011363636363636,0.14894441609799577,0.09622375054602417,0.4575515838577573,0.7702127659574468,0.9269316403207234,0.07398809512622416,-0.21782851678281112,0.9459157266825934
realized_over_range_width_ge_1,24H,LOW_VOL_RANGE,579,511,0.8825561312607945,0.09781026101427319,0.05905968590452193,0.3526443590461991,0.7121848739495799,0.9289581234905748,0.05869791689140355,-0.12459679385184556,0.755851446409434
realized_over_range_width_ge_1,24H,NORMAL_RANGE,176,137,0.7784090909090909,0.1722473863367718,0.08003954114265799,0.5455265320675663,0.7930001871607711,0.9290620381970526,0.13983926652981515,-0.4340463626428533,0.6915505148822273
oscillatory_path,1H,LOW_VOL_RANGE,579,253,0.4369602763385147,0.24489743397056804,0.004592932424774876,0.6828652139663317,0.5266131574480467,0.4823551160825659,0.013160909585309619,-0.048861604107551124,1.014016451992141
oscillatory_path,1H,NORMAL_RANGE,176,83,0.4715909090909091,0.24828991556033617,0.008729304309765706,0.6897378484227221,0.47298872910998835,0.4951139246846457,0.02301405240792121,0.08646870847568183,0.9865114427084004
oscillatory_path,2H,LOW_VOL_RANGE,579,228,0.39378238341968913,0.24649826245259726,-0.02761771331732521,0.6861243178677139,0.48735442595091716,0.37573337221929226,0.07583386298969491,-0.29785014314967556,0.9648303632224833
oscillatory_path,2H,NORMAL_RANGE,176,80,0.45454545454545453,0.24815999684124596,0.0019722308509453335,0.6894561352109538,0.4895833333333333,0.4741844872988768,0.017867488758469774,-0.06939174447657917,0.9913956567642936
oscillatory_path,4H,LOW_VOL_RANGE,579,256,0.4421416234887737,0.24667805920637273,-9.06092978312234e-05,0.6864710086429906,0.5454237616099071,0.45368079931805694,0.009249759235662966,0.03198259230493399,0.9809825307426606
oscillatory_path,4H,NORMAL_RANGE,176,67,0.3806818181818182,0.24446550685143267,-0.019595580356497333,0.6820738751660819,0.3757359989045598,0.3067297564243081,0.056706119652888444,-0.2373855758188468,0.9065502030199664
oscillatory_path,8H,LOW_VOL_RANGE,579,253,0.4369602763385147,0.24668586483108848,-0.00261598311479605,0.6865155922979125,0.49524721743980216,0.4284989648534418,0.015021868765048806,0.04168810331364257,0.9655401191718548
oscillatory_path,8H,NORMAL_RANGE,176,108,0.6136363636363636,0.2702215832647997,-0.012468014222780432,0.7338641682448752,0.4455337690631808,0.5468510652565571,0.17044674222495015,0.613472950215602,0.7479628596564667
