event,horizon,feature,n,true_mean,false_mean,point_biserial,spearman,univariate_auc_positive_orientation,orientation,classification
mean_reversion,8H,return_5m,3679,-4.247182301774243e-05,1.886429544632579e-06,-0.011430506198078373,-0.0005022862889718241,0.49968434409749724,weak_flat,WEAK
mean_reversion,8H,return_15m,3679,-5.355599283542451e-05,1.2395423228309194e-05,-0.011047467221181535,-0.003044636444151212,0.4980866315260939,weak_flat,WEAK
mean_reversion,8H,return_1h,3679,-4.284412434529956e-05,9.40932504931493e-05,-0.010851785824431354,-0.006235528228791017,0.49608134993581837,weak_flat,WEAK
mean_reversion,8H,return_4h,3679,4.154090929300696e-05,-0.00016631722648030456,0.008512293191468909,0.012444312293709157,0.5078204931585129,weak_flat,WEAK
mean_reversion,8H,vwap,3679,1818.0700619432523,1813.2399356079695,0.016502810683586496,0.022069362359113793,0.5138692515786296,weak_flat,WEAK
mean_reversion,8H,vwap_deviation_pct,3679,5.199605541359161e-05,-0.0005900573406464989,0.021774600387724042,0.006859275940496084,0.5043106376214216,weak_flat,WEAK
mean_reversion,8H,vwap_zscore,3679,0.4621448431576576,0.45228468731948984,0.0006879160363364084,-0.0061817615595649465,0.49611513894812176,weak_flat,WEAK
mean_reversion,8H,atr,3679,3.422864937089412,3.8677480426132727,-0.09460443212990831,-0.06787429738049065,0.45734513602791077,weak_flat,CONDITIONAL
mean_reversion,8H,atr_pct,3679,0.001916455044802333,0.002162266285296125,-0.08875519252754831,-0.06881896897622568,0.45675146483246604,weak_flat,CONDITIONAL
mean_reversion,8H,realized_volatility,3679,46.65674250003399,51.46150222532012,-0.1044377608796294,-0.12565774533832197,0.42103175186749947,higher_feature_lower_event,USEFUL CANDIDATE
mean_reversion,8H,volume,3679,105676.67692907249,108396.55525606469,-0.010084249213212503,-0.023999108354541356,0.4849180205031026,weak_flat,WEAK
mean_reversion,8H,volume_zscore,3679,0.30301931421320116,0.19272368621809813,0.04051414637061565,0.008610450035287667,0.5054111440014174,weak_flat,WEAK
mean_reversion,12H,return_5m,3679,-3.286237848000886e-05,-1.709456222848853e-05,-0.0037865147976909367,0.005908474170459397,0.5039843809846349,weak_flat,WEAK
mean_reversion,12H,return_15m,3679,-3.737528566558188e-05,-2.176774415705031e-05,-0.002436408855505503,0.0073346890117596585,0.5049461559240579,weak_flat,WEAK
mean_reversion,12H,return_1h,3679,-1.2614813235033949e-05,3.3726764515839404e-05,-0.003422371144162175,6.098289653740637e-05,0.5000411238917716,weak_flat,WEAK
mean_reversion,12H,return_4h,3679,0.00011807230124030697,-0.0004588738135963775,0.022018710069435656,0.018196817774097616,0.5122710467643158,weak_flat,WEAK
mean_reversion,12H,vwap,3679,1820.4134751319402,1804.668427064053,0.050132630403851804,0.05125672151878151,0.5345650342094335,weak_flat,WEAK
mean_reversion,12H,vwap_deviation_pct,3679,-3.8727068186614704e-05,-0.0004671129603010373,0.013539146261343287,-0.005979313114231954,0.49596784272933625,weak_flat,WEAK
mean_reversion,12H,vwap_zscore,3679,0.38140577889538607,0.7031883030495101,-0.02092142118569655,-0.024913904287887187,0.4831992775096661,weak_flat,WEAK
mean_reversion,12H,atr,3679,3.3848105478750647,4.099272858749799,-0.141586539505578,-0.11579725847595446,0.4219119787445924,higher_feature_lower_event,USEFUL CANDIDATE
mean_reversion,12H,atr_pct,3679,0.001893143727808729,0.0022973622271215063,-0.13601452564545805,-0.12155505321406272,0.41802919796315785,higher_feature_lower_event,USEFUL CANDIDATE
mean_reversion,12H,realized_volatility,3679,46.52072215919688,53.09903082981913,-0.13325306258983233,-0.15469806116201276,0.39567916913611606,higher_feature_lower_event,USEFUL CANDIDATE
mean_reversion,12H,volume,3679,103529.36630824373,115820.90776152982,-0.04246953613945693,-0.05882966132627276,0.4603281444658127,weak_flat,WEAK
mean_reversion,12H,volume_zscore,3679,0.2880523564620182,0.21190432902450682,0.02606658433695846,0.002720315435431996,0.5018344481133407,weak_flat,WEAK
mean_reversion,24H,return_5m,3679,-2.678775954063485e-05,-3.974411168737733e-05,0.002760286996062667,0.0207215387697575,0.5157508549556693,weak_flat,WEAK
mean_reversion,24H,return_15m,3679,-3.508367705542519e-05,-2.6616684327092223e-05,-0.0011725955601532038,0.012819194197924431,0.5097441382518129,weak_flat,WEAK
mean_reversion,24H,return_1h,3679,-3.0365872735761546e-05,0.0001352699134597334,-0.010852101601016486,-0.005079289936750968,0.4961391246975127,weak_flat,WEAK
mean_reversion,24H,return_4h,3679,-7.378097551474922e-05,0.00022625496397520297,-0.010158586596641527,0.00012265234914581884,0.5000932306362018,weak_flat,WEAK
mean_reversion,24H,vwap,3679,1820.0245497159715,1800.481017636651,0.055205575966865254,0.05524342656570382,0.5419916932527656,weak_flat,CONDITIONAL
mean_reversion,24H,vwap_deviation_pct,3679,-0.0003032279006383754,0.0006178661965627225,-0.025826378232240883,-0.04753182861767946,0.4638700549343595,weak_flat,WEAK
mean_reversion,24H,vwap_zscore,3679,0.23626934708546196,1.5115750960772611,-0.07356079835891265,-0.0680498143841349,0.44827390136403594,higher_feature_lower_event,CONDITIONAL
mean_reversion,24H,atr,3679,3.375021174477697,4.418834703399245,-0.18351389492346615,-0.1580473326160592,0.3798648975385063,higher_feature_lower_event,USEFUL CANDIDATE
mean_reversion,24H,atr_pct,3679,0.0018869474880384568,0.0024812650805795,-0.17741530407091657,-0.16154325199012243,0.3772075682786346,higher_feature_lower_event,USEFUL CANDIDATE
mean_reversion,24H,realized_volatility,3679,46.6676072985014,54.92223557327877,-0.14834190783716114,-0.17253815896574223,0.36885010767626225,higher_feature_lower_event,USEFUL CANDIDATE
mean_reversion,24H,volume,3679,102283.5662055336,126405.61741835148,-0.07394159091302129,-0.10467468206227713,0.42043456746107366,higher_feature_lower_event,USEFUL CANDIDATE
mean_reversion,24H,volume_zscore,3679,0.2700279580437111,0.2678758046829091,0.0006535849940453832,-0.031675979931048585,0.47592241981653033,weak_flat,WEAK
mean_reversion,ALL,return_5m,22074,-3.842874179671914e-05,-1.4308308777412282e-05,-0.0065958715110458355,0.0011855325356479793,0.5007020693539118,weak_flat,WEAK
mean_reversion,ALL,return_15m,22074,-5.468726538775916e-05,-4.5171396090347364e-07,-0.009640925113947808,-0.0022896375897188963,0.49864408062593896,weak_flat,WEAK
mean_reversion,ALL,return_1h,22074,-8.706996738672777e-05,0.0001332667123088378,-0.018529430394106313,-0.015277491035490429,0.4909526952789524,weak_flat,WEAK
mean_reversion,ALL,return_4h,22074,-0.00020938612998488927,0.00027434383555829993,-0.02102222063524994,-0.02101648180556098,0.48755407433807907,weak_flat,WEAK
mean_reversion,ALL,vwap,22074,1818.5145940058508,1813.6121135936826,0.01777507112221696,0.023725316272311798,0.5140500929869647,weak_flat,WEAK
mean_reversion,ALL,vwap_deviation_pct,22074,-0.00019330974749113907,-6.194420566271103e-05,-0.004727772390076006,-0.021734293135107562,0.4871289876160435,weak_flat,WEAK
mean_reversion,ALL,vwap_zscore,22074,0.33956298512696137,0.647222443637893,-0.022778125350692364,-0.03085407691466579,0.4817282667719828,weak_flat,WEAK
mean_reversion,ALL,atr,22074,3.400615133773069,3.804072951870412,-0.09104576672783403,-0.07076800028893243,0.4580913100063288,weak_flat,CONDITIONAL
mean_reversion,ALL,atr_pct,22074,0.0019033970482153306,0.002128285718612607,-0.08616991435549104,-0.07081139898220623,0.45806560684722486,weak_flat,CONDITIONAL
mean_reversion,ALL,realized_volatility,22074,46.486489432075636,50.66366594618512,-0.09635289273883459,-0.11821740348657253,0.4299918495247934,higher_feature_lower_event,USEFUL CANDIDATE
mean_reversion,ALL,volume,22074,105598.07048099014,107916.97342967021,-0.0091237361815172,-0.03235480423068867,0.4808395385892557,weak_flat,WEAK
mean_reversion,ALL,volume_zscore,22074,0.303689076625386,0.21613068724910506,0.03413046551473769,0.00025735503215038285,0.5001524052236385,weak_flat,WEAK
upside_breakout,1H,return_5m,4206,-0.00024021518025128268,0.0003819551465651019,-0.16918029903309795,-0.18473470581579637,0.3890400613380275,higher_feature_lower_event,USEFUL CANDIDATE
upside_breakout,1H,return_15m,4206,-0.00020546398539578417,0.00030945834440801554,-0.09069321972407095,-0.1054856138018467,0.4366405389445327,higher_feature_lower_event,CONDITIONAL
upside_breakout,1H,return_1h,4206,-0.00044142338284757957,0.000795524883691765,-0.10525835840438369,-0.12700297971914107,0.4237162122642283,higher_feature_lower_event,USEFUL CANDIDATE
upside_breakout,1H,return_4h,4206,-0.00034761217891021446,0.0005592338313516023,-0.040467585168148815,-0.04035852542286559,0.47575882682457016,weak_flat,WEAK
upside_breakout,1H,vwap,4206,1815.8463343909302,1818.8181359544922,-0.010588693281417056,-0.016701884816890483,0.48996808533288433,weak_flat,WEAK
upside_breakout,1H,vwap_deviation_pct,4206,-0.0003218498840270782,0.00023093261246331595,-0.020957301793564247,-0.013454199901956431,0.491918793189482,weak_flat,WEAK
upside_breakout,1H,vwap_zscore,4206,0.3329241869612622,0.5309949366636384,-0.015445955718048899,-0.011116323093288564,0.4933230287535464,weak_flat,WEAK
upside_breakout,1H,atr,4206,3.3845601938128973,3.880888284401089,-0.11243217744210612,-0.11183571275675697,0.43282636791216506,higher_feature_lower_event,CONDITIONAL
upside_breakout,1H,atr_pct,4206,0.0018979078652806719,0.002162837629537764,-0.1019639042636841,-0.10700471931774647,0.43572807949862574,higher_feature_lower_event,CONDITIONAL
upside_breakout,1H,realized_volatility,4206,47.50922173579607,48.342416016911436,-0.01913860548765467,-0.023127990258910283,0.48610827297380044,weak_flat,WEAK
