feature,target,regime,horizon,n,auc_oriented
atr_slope_96b,trend_efficiency_high,TREND_UP,1H,179,0.5751633986928104
atr_slope_96b,trend_efficiency_high,TREND_UP,24H,179,0.5440715883668904
atr_slope_96b,trend_efficiency_high,TREND_UP,2H,179,0.5151371807000946
atr_slope_96b,trend_efficiency_high,TREND_UP,4H,179,0.5937360178970917
atr_slope_96b,trend_efficiency_high,TREND_UP,8H,179,0.5420918367346939
atr_slope_96b,trend_efficiency_high,VOLATILITY_EXPANSION,12H,324,0.5176046380090498
atr_slope_96b,trend_efficiency_high,VOLATILITY_EXPANSION,1H,324,0.5097373188405797
atr_slope_96b,trend_efficiency_high,VOLATILITY_EXPANSION,24H,324,0.5474021177049988
atr_slope_96b,trend_efficiency_high,VOLATILITY_EXPANSION,2H,324,0.546159122085048
atr_slope_96b,trend_efficiency_high,VOLATILITY_EXPANSION,4H,319,0.5207093253968254
atr_slope_96b,trend_efficiency_high,VOLATILITY_EXPANSION,8H,319,0.5362462760675273
rv_slope_96b,upside_breakout_occurred,HIGH_VOL,12H,163,0.7110537503795931
rv_slope_96b,upside_breakout_occurred,HIGH_VOL,1H,163,0.535039113428944
rv_slope_96b,upside_breakout_occurred,HIGH_VOL,24H,163,0.6907814407814408
rv_slope_96b,upside_breakout_occurred,HIGH_VOL,2H,163,0.5229832572298325
rv_slope_96b,upside_breakout_occurred,HIGH_VOL,4H,163,0.5715792646172393
rv_slope_96b,upside_breakout_occurred,HIGH_VOL,8H,163,0.6452733313198429
rv_slope_96b,upside_breakout_occurred,LOW_VOL_RANGE,12H,1024,0.5309373686422867
rv_slope_96b,upside_breakout_occurred,LOW_VOL_RANGE,1H,1024,0.5283961548191247
rv_slope_96b,upside_breakout_occurred,LOW_VOL_RANGE,24H,1024,0.5383450259782194
rv_slope_96b,upside_breakout_occurred,LOW_VOL_RANGE,2H,1024,0.5119298291503729
rv_slope_96b,upside_breakout_occurred,LOW_VOL_RANGE,4H,1016,0.5067635803727102
rv_slope_96b,upside_breakout_occurred,LOW_VOL_RANGE,8H,1016,0.5055962311000335
rv_slope_96b,upside_breakout_occurred,NORMAL_RANGE,12H,2314,0.6044777027734298
rv_slope_96b,upside_breakout_occurred,NORMAL_RANGE,1H,2314,0.5263342271603157
rv_slope_96b,upside_breakout_occurred,NORMAL_RANGE,24H,2314,0.61962108759674
rv_slope_96b,upside_breakout_occurred,NORMAL_RANGE,2H,2314,0.5536359502676615
rv_slope_96b,upside_breakout_occurred,NORMAL_RANGE,4H,2303,0.5796803580497715
rv_slope_96b,upside_breakout_occurred,NORMAL_RANGE,8H,2303,0.6166624893883657
rv_slope_96b,upside_breakout_occurred,TREND_DOWN,12H,190,0.6460561497326203
