target,horizon,fold,model_family,feature_set,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
lower_breach_only,2H,3,logistic,compact_deredundant,631,186,0.294770206022187,0.21041083564953886,-0.0008304322903924799,0.6116558507071543,0.5226772985381177,0.3089597191099114,0.025850168584893474,-0.13681412564499862,0.940354226004409
lower_breach_only,4H,1,tree_depth2,step11_individuals,631,190,0.3011093502377179,0.2180271724110722,-0.01245880208998651,0.6290455564474786,0.5440386680988185,0.3368730775901011,0.095036285981778,-0.36751862692809006,0.9232915648062563
lower_breach_only,4H,2,tree_depth2,step11_individuals,631,213,0.3375594294770206,0.22527473163731843,-0.006319867556911607,0.6432983457790202,0.5398162499719208,0.35663470870358405,0.047890151338142894,-0.11005021711660469,0.8870482584211732
lower_breach_only,4H,3,tree_depth2,step11_individuals,631,192,0.30427892234548337,0.21348533174635567,0.0007800257711781944,0.6192880821012341,0.5021948557327259,0.34845363335031737,0.0077051808465091656,-0.09214661209258489,0.8709464314629006
lower_breach_only,8H,1,logistic,compact_deredundant,631,174,0.2757527733755943,0.20801067643294027,-0.01478830609829962,0.6068878631045281,0.5395256419930079,0.30490039221548915,0.07316053027360044,-0.3175737841316646,0.9093418828105372
lower_breach_only,8H,2,logistic,compact_deredundant,631,220,0.3486529318541997,0.22082024577950313,0.029023313987105226,0.6323395149284434,0.6321389073213891,0.4564470732290263,0.044410217710655564,0.14998283106360064,0.9611479902561659
lower_breach_only,8H,3,logistic,compact_deredundant,631,176,0.27892234548335976,0.20161345388403723,0.0116358343854297,0.5924764022119627,0.5535964035964036,0.30801157634870696,0.03577335558321381,-0.13064375272059617,0.9627618550361765
lower_breach_only,12H,1,tree_depth2,step11_individuals,631,154,0.24405705229793978,0.19665797176498845,-0.010587175525209824,0.5799219812820927,0.549062049062049,0.2861508128875265,0.09373222884871005,-0.4275365662727779,0.9630701832820224
lower_breach_only,12H,2,tree_depth2,step11_individuals,631,189,0.29952456418383516,0.20475558387658624,0.026193547288068886,0.5983431186437009,0.6023725729608083,0.3604560573175075,0.024752317581437557,0.025225389223732575,0.9566197186974821
lower_breach_only,12H,3,tree_depth2,step11_individuals,631,146,0.23137876386687797,0.17779793053086176,0.03705732433971087,0.5403900373394916,0.5840841689026973,0.3014393220148358,0.04130922960287696,-0.16054494486092433,1.0350433754229984
lower_breach_only,24H,1,tree_depth2,step11_individuals,631,104,0.1648177496038035,0.17447636070699993,-0.008833328020786624,0.531088242284804,0.5668333090059845,0.19464123499673658,0.18371767963110128,-0.7948152392099042,1.2112985273153545
lower_breach_only,24H,2,tree_depth2,step11_individuals,631,185,0.2931854199683043,0.20595850425426704,0.006633274656878241,0.6069505150624662,0.6092110047266998,0.36656474015558144,0.03955642621772708,-0.011800670394673194,0.7391773702958462
