regime,event,horizon,n,eligible_rule,base_rate,mean_predicted_probability,brier,base_rate_brier,brier_delta_model_minus_base,relative_brier_improvement,log_loss,base_rate_log_loss,log_loss_delta_model_minus_base,auc,pr_auc_average_precision,ece
LOW_VOL_RANGE,mean_reversion,8H,505,mean_reversion_eligible,0.7861386138613862,0.9317033663366336,0.2027397013069307,0.1681246936574846,0.03461500764944611,-0.20588889648754533,0.8408958058662009,0.5190279818253988,0.32186782404080216,0.4129932829554996,0.7652876929044152,0.17972752475247525
LOW_VOL_RANGE,mean_reversion,12H,505,mean_reversion_eligible,0.8415841584158416,0.9317033663366336,0.15468544388118813,0.13332026271934125,0.02136518116184688,-0.16025456840588237,0.6767608610456551,0.43703362221241393,0.2397272388332412,0.37466176470588236,0.8052382438989731,0.14408396039603966
LOW_VOL_RANGE,mean_reversion,24H,505,mean_reversion_eligible,0.8415841584158416,0.9317033663366336,0.15468544388118813,0.13332026271934125,0.02136518116184688,-0.16025456840588237,0.6767608610456551,0.43703362221241393,0.2397272388332412,0.37466176470588236,0.8052382438989731,0.14408396039603966
LOW_VOL_RANGE,upside_breakout,1H,537,all_rows,0.48044692737430167,0.31540595903165736,0.2902956645065177,0.24961767735089413,0.040677987155623596,-0.16296116359756638,0.7874771496086392,0.6923823402482719,0.0950948093603673,0.4595246033730655,0.45560773070487065,0.1811392923649907
LOW_VOL_RANGE,upside_breakout,2H,537,all_rows,0.5456238361266295,0.31540595903165736,0.3203999475605214,0.24791846557709046,0.07248148198343096,-0.2923601588720417,0.8544601425024059,0.6889783153402577,0.1654818271621482,0.41242376769428746,0.49482729165352396,0.24259180633147115
LOW_VOL_RANGE,upside_breakout,4H,537,all_rows,0.6759776536312849,0.31540595903165736,0.3725965956052142,0.2190318654224275,0.15356473018278669,-0.7011067996276245,0.9680632130555658,0.62986429394747,0.33819891910809574,0.3819939203951743,0.6034198735284233,0.3766700186219739
LOW_VOL_RANGE,upside_breakout,8H,537,all_rows,0.8026070763500931,0.31540595903165736,0.42657275947858475,0.15842895734284895,0.2681438021357358,-1.6925176219866038,1.085571632882371,0.49676693843699427,0.5888046944453768,0.27058617519590245,0.6909623176333659,0.5032994413407821
LOW_VOL_RANGE,upside_breakout,12H,537,all_rows,0.7858472998137802,0.31540595903165736,0.40836642800744877,0.1682913211891708,0.24007510681827796,-1.4265447862781784,1.0456572592192246,0.5194069636243753,0.5262502955948493,0.3633937770451267,0.738911044255726,0.47044134078212296
LOW_VOL_RANGE,upside_breakout,24H,537,all_rows,0.9143389199255121,0.31540595903165736,0.4514040443947858,0.07832325943496006,0.3730807849598258,-4.763346005405118,1.1390631654139034,0.2923825060812893,0.8466806593326142,0.31143186044452315,0.8889850048105892,0.5989329608938547
LOW_VOL_RANGE,downside_breakdown,1H,537,all_rows,0.7877094972067039,0.2517404096834264,0.4568621930353817,0.1672232452170656,0.2896389478183161,-1.7320495571195722,1.1602913931929688,0.5169756459920154,0.6433157472009534,0.47893077848285015,0.7823419620884442,0.5359690875232774
LOW_VOL_RANGE,downside_breakdown,2H,537,all_rows,0.7206703910614525,0.2517404096834264,0.4272234593296089,0.20130457850878564,0.2259188808208233,-1.1222739318418602,1.096181355189497,0.5923190436392857,0.5038623115502113,0.40945736434108526,0.6785634895949136,0.4689299813780261
LOW_VOL_RANGE,downside_breakdown,4H,537,all_rows,0.6480446927374302,0.2517404096834264,0.3914443159404097,0.22808276895227989,0.1633615469881298,-0.7162380031536216,1.0166651896328078,0.6486486553882139,0.3680165342445939,0.41466733564434716,0.5969445167810222,0.3980130353817505
LOW_VOL_RANGE,downside_breakdown,8H,537,all_rows,0.5735567970204841,0.2517404096834264,0.3576078168715084,0.24458939761208726,0.11301841925942113,-0.4620740733769072,0.941845650266058,0.6822866010828278,0.25955904918323025,0.40800629501502866,0.4944748511930818,0.33097392923649904
