event,horizon,n,base_rate,mean_predicted_probability,brier,base_rate_brier,brier_delta_model_minus_base,relative_brier_improvement,log_loss,base_rate_log_loss,log_loss_delta_model_minus_base,auc,pr_auc_average_precision,ece,monotonicity,assessment
upside_breakout,8H,4206,0.6350451735615787,0.3101129814550642,0.35794687597242036,0.2317628010977231,0.12618407487469727,-0.5444535286812122,0.9479352409353631,0.6562158523755118,0.29171938855985124,0.4941355883009328,0.6360134485031749,0.3300277698525915,noisy,NO CLEAR SIGNAL
upside_breakout,12H,4206,0.6535901093675701,0.3101129814550642,0.3636453543366619,0.22641007830445783,0.13723527603220406,-0.6061358975710491,0.9599518666113578,0.6451958482758093,0.31475601833554845,0.5031559488906304,0.6568977868250957,0.34952372800760817,noisy,NO CLEAR SIGNAL
upside_breakout,24H,4206,0.68188302425107,0.3101129814550642,0.37272619123632905,0.21691856548928473,0.15580762574704432,-0.7182770427953105,0.9793942934627591,0.6254419310195773,0.35395236244318173,0.5229363284987898,0.6888470516950562,0.3778166428911079,noisy,NO CLEAR SIGNAL
upside_breakout,ALL,25236,0.6431288635282929,0.3101129814550642,0.3625387130305912,0.2295141284250993,0.1330245846054919,-0.5795921389166409,0.959230663956991,0.65159668657741,0.307633977379581,0.48790797919481077,0.6368411139069396,0.33967413219210657,noisy,NO CLEAR SIGNAL
downside_breakdown,1H,4206,0.6552543984783642,0.29671098430813125,0.3749782923157394,0.2258960717531213,0.14908222056261813,-0.6599593317653971,0.9889306671145489,0.644133140021248,0.3447975270933009,0.47770994945197937,0.6465195476030051,0.36394560152163574,noisy,NO CLEAR SIGNAL
downside_breakdown,2H,4206,0.6314788397527342,0.29671098430813125,0.3639769133333333,0.23271331469727485,0.13126359863605847,-0.5640571052275747,0.9635983353966782,0.6581639236641053,0.3054344117325729,0.4863570005829771,0.6271214096826285,0.34207208749405604,noisy,NO CLEAR SIGNAL
downside_breakdown,4H,4206,0.635282929148835,0.29671098430813125,0.3667748210841655,0.2316985290809113,0.1350762920032542,-0.5829829500388597,0.9688864547807486,0.6560840322306952,0.3128024225500534,0.486362997603229,0.6268527898431825,0.3473027104136948,noisy,NO CLEAR SIGNAL
downside_breakdown,8H,4206,0.6428911079410367,0.29671098430813125,0.36677082679029954,0.22958213127138302,0.13718869551891652,-0.5975582453180964,0.9690723368955934,0.6517365944368959,0.31733574245869745,0.5016049852661933,0.644425368391703,0.35395986685687114,noisy,NO CLEAR SIGNAL
downside_breakdown,12H,4206,0.6466951973371374,0.29671098430813125,0.3673147164717071,0.22848051907821829,0.13883419739348882,-0.6076412901791428,0.9691193506061747,0.6494684722798408,0.3196508783263339,0.5072862649433932,0.6521389332748543,0.35586191155492153,noisy,NO CLEAR SIGNAL
downside_breakdown,24H,4206,0.6524013314312886,0.29671098430813125,0.36317115964812174,0.2267738341779705,0.13639732547015124,-0.6014685334601151,0.959444876931337,0.6459474338837052,0.3134974430476317,0.5347583385513673,0.6805084218643224,0.3615680456490727,noisy,NO CLEAR SIGNAL
downside_breakdown,ALL,25236,0.6440006340148994,0.29671098430813125,0.36716445494056116,0.229263817403307,0.13790063753725415,-0.6014932452017394,0.9698420036208469,0.6510815833627396,0.31876042025810736,0.4989427837253375,0.6456888547863101,0.35411837058170864,noisy,NO CLEAR SIGNAL
range_continuation,1H,4206,0.04303376129339039,0.31954046600095104,0.16771153612933903,0.04118185668233389,0.12652967944700516,-3.0724617499162834,0.49733384744419645,0.17746856244047846,0.319865285003718,0.510320167461652,0.043463121235875465,0.2765067047075606,flat,NO CLEAR SIGNAL
range_continuation,2H,4206,0.043509272467902996,0.31954046600095104,0.167801312639087,0.04161621567721677,0.12618509696187025,-3.0321136823344466,0.49303455832709325,0.17894075932399583,0.3140937990030974,0.5145787405478607,0.043570665431820296,0.27603119353304806,flat,NO CLEAR SIGNAL
range_continuation,4H,4206,0.0432715168806467,0.31954046600095104,0.16568714240608653,0.0413990927074946,0.12428804969859193,-3.002192598198938,0.48815207491628737,0.1782053436023923,0.30994673131389505,0.5437478153059664,0.047779587634599885,0.27626894912030436,flat,NO CLEAR SIGNAL
