target,horizon,strategy_relevance,feature_set,model_family,calibration,selected_on,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
oscillatory_path,4H,GRID,step11_individuals,logistic,platt,validation_only,842,363,0.4311163895486936,0.24700138852922252,-0.006443714733064043,0.6871447568349291,0.4962933567981964,0.4084135505056067,0.01076470196138922,-0.01748920696286564,0.9456099095595424
trend_efficiency_high,8H,GRID,step11_individuals,logistic,platt,validation_only,842,141,0.167458432304038,0.1422052376615201,-0.01698772848387442,0.4627670740383398,0.44586760554830485,0.15375470399199798,0.018062829629132728,-0.07095134796787322,0.9389437726673265
one_sided_runaway,8H,GRID,step11_individuals,logistic,platt,validation_only,842,141,0.167458432304038,0.1422052376615201,-0.01698772848387442,0.4627670740383398,0.44586760554830485,0.15375470399199798,0.018062829629132728,-0.07095134796787322,0.9389437726673265
oscillatory_path,2H,GRID,step12_interactions,logistic,platt,validation_only,842,346,0.41092636579572445,0.24727499566197292,-0.02032242944868967,0.6876819402520433,0.4863882155509976,0.40289334086154693,0.06061807539637665,-0.23736789904907166,0.9679549719522755
oscillatory_path,12H,GRID,step11_individuals,tree_depth2,platt,validation_only,842,446,0.5296912114014252,0.26418924799652477,-0.020437957448887323,0.7221610022746837,0.4621665081306337,0.5450749118193299,0.10925040855868993,0.36437226268343537,0.7715480640910533
trend_efficiency_high,4H,GRID,all_step13,logistic,platt,validation_only,842,150,0.17814726840855108,0.14965213884044049,-0.022101663828780094,0.48037450907544005,0.4710597302504817,0.16297351706809682,0.05932214730227478,-0.03807941056434159,0.8712850570114089
one_sided_runaway,4H,GRID,all_step13,logistic,platt,validation_only,842,150,0.17814726840855108,0.14965213884044049,-0.022101663828780094,0.48037450907544005,0.4710597302504817,0.16297351706809682,0.05932214730227478,-0.03807941056434159,0.8712850570114089
trend_efficiency_high,12H,GRID,compact_deredundant,tree_depth2,platt,validation_only,842,129,0.15320665083135393,0.13466940189796697,-0.02463749329458298,0.44354579997878324,0.5374060906530981,0.1302231848851783,0.06548523426790338,-0.17935721788792658,1.1590096490128603
one_sided_runaway,12H,GRID,compact_deredundant,tree_depth2,platt,validation_only,842,129,0.15320665083135393,0.13466940189796697,-0.02463749329458298,0.44354579997878324,0.5374060906530981,0.1302231848851783,0.06548523426790338,-0.17935721788792658,1.1590096490128603
trend_efficiency_high,24H,GRID,all_step13,logistic,platt,validation_only,842,107,0.12707838479809977,0.12375723892659829,-0.055205134134568734,0.41866788347343503,0.5567296077309428,0.15374622433844953,0.11185645939972325,-0.35577629934362665,1.3356570072493494
one_sided_runaway,24H,GRID,all_step13,logistic,platt,validation_only,842,107,0.12707838479809977,0.12375723892659829,-0.055205134134568734,0.41866788347343503,0.5567296077309428,0.15374622433844953,0.11185645939972325,-0.35577629934362665,1.3356570072493494
oscillatory_path,24H,GRID,step12_interactions,tree_depth2,platt,validation_only,842,493,0.5855106888361045,0.3060553821832714,-0.15760654107257355,0.8110302936350249,0.448403726671975,0.6203948613577199,0.2529862289207139,0.699996588627423,0.5265392149609492
