event,horizon,live_n,backtest_n,live_base_rate,backtest_base_rate,live_mean_predicted_probability,backtest_mean_predicted_probability,live_brier,backtest_brier,live_brier_delta_model_minus_base,backtest_brier_delta_model_minus_base,live_auc,backtest_auc,live_pr_auc,backtest_pr_auc,classification
upside_breakout,12H,1058,4206,0.8459357277882797,0.6535901093675701,0.4803271266540643,0.3101129814550642,0.30535067630434787,0.3636453543366619,0.17502220406475466,0.13723527603220406,0.5483977105254139,0.5031559488906304,0.8764183999023668,0.6568977868250957,CONFIRMS BACKTEST FAILURE
upside_breakout,24H,915,4206,0.9224043715846995,0.68188302425107,0.4856951912568306,0.3101129814550642,0.3272985310928962,0.37272619123632905,0.25572398422676107,0.15580762574704432,0.4643298177691743,0.5229363284987898,0.9181913928044466,0.6888470516950562,CONFIRMS BACKTEST FAILURE
downside_breakdown,1H,1190,4206,0.6504201680672269,0.6552543984783642,0.2347942857142857,0.29671098430813125,0.40678763484033614,0.3749782923157394,0.17941386180170893,0.14908222056261813,0.4563937959650169,0.47770994945197937,0.6086230640238739,0.6465195476030051,CONFIRMS BACKTEST FAILURE
downside_breakdown,2H,1178,4206,0.6086587436332768,0.6314788397527342,0.2352660441426146,0.29671098430813125,0.38355394764006795,0.3639769133333333,0.14536067020803012,0.13126359863605847,0.464816344312437,0.4863570005829771,0.5663600695325539,0.6271214096826285,CONFIRMS BACKTEST FAILURE
downside_breakdown,4H,1154,4206,0.5398613518197574,0.635282929148835,0.23573613518197573,0.29671098430813125,0.34538656558925473,0.3667748210841655,0.09697549295815319,0.1350762920032542,0.47697037299017875,0.486362997603229,0.4975362378867893,0.6268527898431825,CONFIRMS BACKTEST FAILURE
downside_breakdown,8H,1106,4206,0.43670886075949367,0.6428911079410367,0.2352119349005425,0.29671098430813125,0.2940211389511754,0.36677082679029954,0.048026907257536555,0.13718869551891652,0.4623839765510503,0.5016049852661933,0.38426068355911963,0.644425368391703,CONFIRMS BACKTEST FAILURE
downside_breakdown,12H,1058,4206,0.3998109640831758,0.6466951973371374,0.23579357277882795,0.29671098430813125,0.27419219413988655,0.3673147164717071,0.034230037057829205,0.13883419739348882,0.4609258949014352,0.5072862649433932,0.3439673180425116,0.6521389332748543,CONFIRMS BACKTEST FAILURE
downside_breakdown,24H,915,4206,0.32021857923497266,0.6524013314312886,0.23774546448087433,0.29671098430813125,0.23341581203278688,0.36317115964812174,0.015737171285078705,0.13639732547015124,0.4290684020499764,0.5347583385513673,0.2618364958510547,0.6805084218643224,CONFIRMS BACKTEST FAILURE
range_continuation,1H,1190,4206,0.04285714285714286,0.04303376129339039,0.21340546218487394,0.31954046600095104,0.1131029478235294,0.16771153612933903,0.0720825396602641,0.12652967944700516,0.40935461102790544,0.510320167461652,0.03544157703951861,0.043463121235875465,CONFIRMS BACKTEST FAILURE
range_continuation,2H,1178,4206,0.059422750424448216,0.043509272467902996,0.21405806451612905,0.31954046600095104,0.11471287485568761,0.167801312639087,0.05882118769924565,0.12618509696187025,0.5565626611655492,0.5145787405478607,0.07412536921119187,0.043570665431820296,LIVE BETTER THAN BACKTEST
