target,horizon,feature_set,model_family,raw_brier,selected_brier,calibration,raw_ece,selected_ece
range_continuation,24H,step11_individuals,boosted_stumps,0.042932919695004054,0.042839325766881986,platt,0.007401699021457951,0.001447472201203212
range_continuation,24H,step12_interactions,logistic,0.03988275310203647,0.03988275310203647,none,0.006644983242704101,0.006644983242704101
range_continuation,24H,step12_interactions,tree_depth2,0.03936573036404209,0.0388801103167613,platt,0.013856349686273452,0.0031226881070598317
range_continuation,24H,step12_interactions,boosted_stumps,0.043332935010574954,0.0432843304680904,platt,0.006971714351985625,1.6078592507275113e-05
range_continuation,24H,all_step13,logistic,0.03794820113476893,0.03794820113476893,none,0.0028655689925671224,0.0028655689925671224
range_continuation,24H,all_step13,tree_depth2,0.041725957068196005,0.041490922350226916,platt,0.024999161886871964,0.00777390317113444
range_continuation,24H,all_step13,boosted_stumps,0.042932919695004054,0.042839325766881986,platt,0.007401699021457951,0.001447472201203212
range_continuation,24H,compact_deredundant,logistic,0.03813095070234409,0.03813095070234409,none,0.003628445828580764,0.003628445828580764
range_continuation,24H,compact_deredundant,tree_depth2,0.04172152914155426,0.041313644311716476,platt,0.02479685422056085,0.005500040474150869
range_continuation,24H,compact_deredundant,boosted_stumps,0.04296371769598113,0.042884312907142404,platt,0.006874923637184248,0.0012886010480185825
path_inside_70,1H,step11_individuals,logistic,0.03945101821978215,0.03945101821978215,none,0.0089790578815334,0.0089790578815334
path_inside_70,1H,step11_individuals,tree_depth2,0.03975987827733749,0.03975987827733749,none,0.004544041334821222,0.004544041334821222
path_inside_70,1H,step11_individuals,boosted_stumps,0.04093512323610914,0.04093512323610914,none,0.0001470741866813688,0.0001470741866813688
path_inside_70,1H,step12_interactions,logistic,0.040241176187141105,0.04014573112873879,platt,0.012095151396619368,0.0010378867604277503
path_inside_70,1H,step12_interactions,tree_depth2,0.04047531207098646,0.04045957162903521,platt,0.0031014195610752776,0.00042356035108136875
path_inside_70,1H,step12_interactions,boosted_stumps,0.04102040931835645,0.04102040816328377,platt,3.3986631924776134e-05,1.3585759001816244e-07
path_inside_70,1H,all_step13,logistic,0.03948362768529875,0.03948362768529875,none,0.008945096394090702,0.008945096394090702
path_inside_70,1H,all_step13,tree_depth2,0.03975987827733749,0.03975987827733749,none,0.004544041334821222,0.004544041334821222
path_inside_70,1H,all_step13,boosted_stumps,0.04093512323610914,0.04093512323610914,none,0.0001470741866813688,0.0001470741866813688
path_inside_70,1H,compact_deredundant,logistic,0.039521693880355487,0.039521693880355487,none,0.008339371731376943,0.008339371731376943
path_inside_70,1H,compact_deredundant,tree_depth2,0.03975987827733749,0.03975987827733749,none,0.004544041334821222,0.004544041334821222
path_inside_70,1H,compact_deredundant,boosted_stumps,0.04093512323610914,0.04093512323610914,none,0.0001470741866813688,0.0001470741866813688
path_inside_70,2H,step11_individuals,logistic,0.040318585996880804,0.040318585996880804,none,0.006283771023780607,0.006283771023780607
path_inside_70,2H,step11_individuals,tree_depth2,0.04005953936399431,0.039978032480059794,platt,0.007063161306570488,0.00234687168014685
path_inside_70,2H,step11_individuals,boosted_stumps,0.04199981037134441,0.04199280851483052,platt,0.0018565589399495777,0.0006871613893126294
path_inside_70,2H,step12_interactions,logistic,0.04057589930192755,0.04057589930192755,none,0.0075279593366026215,0.0075279593366026215
