feature,12H,1H,24H,2H,4H,8H
sma_slope_48b,132.554,71.023,62.215,64.183,133.498,130.654
sma_slope_6b,83.106,107.709,80.681,100.911,99.387,88.512
sma_slope_96b,124.279,59.48,66.742,56.561,115.013,118.806
stoch_k_14b,79.151,115.347,73.256,105.905,97.712,84.805
stoch_k_24b,101.068,111.238,67.491,99.96,108.05,100.935
stoch_k_48b,104.202,99.16,62.385,89.043,113.721,103.445
stoch_k_6b,108.83,132.922,101.09,129.711,119.395,110.89
stoch_rsi_14b,119.427,100.037,71.855,92.922,88.317,120.649
stoch_rsi_24b,78.257,101.049,66.037,94.5,89.211,82.706
stoch_rsi_48b,82.543,86.762,58.592,82.715,84.288,72.784
stoch_rsi_6b,98.164,114.589,94.064,107.289,100.755,99.923
tema_dist_12b,128.559,132.781,112.286,129.376,125.912,119.012
tema_dist_24b,131.46,118.364,98.438,114.43,107.45,102.991
tema_dist_288b,133.207,74.984,80.404,78.876,134.199,134.524
tema_dist_48b,85.081,109.988,85.529,105.079,96.853,91.789
tema_dist_6b,119.789,140.008,115.493,135.51,129.063,121.637
tema_dist_96b,130.604,100.845,65.83,94.939,130.435,120.642
true_range,120.613,78.798,127.611,83.122,100.907,111.019
upper_wick_ratio,87.644,82.908,62.038,78.24,70.018,58.314
volume_percentile_24b,86.015,91.039,62.264,90.087,69.222,68.711
volume_percentile_288b,113.787,63.064,127.677,80.858,105.418,106.357
volume_percentile_96b,65.861,73.44,84.481,57.346,93.19,63.608
volume_rel_12b,121.472,115.974,71.916,119.082,98.027,82.572
volume_rel_24b,113.767,104.749,49.278,96.746,77.192,69.617
volume_rel_288b,114.551,62.194,129.069,75.024,98.981,106.088
volume_rel_48b,69.28,79.033,65.928,72.103,81.153,56.237
volume_rel_6b,107.15,98.926,66.228,103.735,78.865,76.25
volume_rel_96b,69.556,69.782,83.408,59.668,94.003,65.406
volume_z_12b,126.561,110.479,71.382,108.149,88.342,84.196
volume_z_24b,86.443,92.132,59.881,90.252,76.444,68.173
volume_z_288b,112.633,62.497,127.209,74.52,96.588,103.866
volume_z_48b,60.569,80.815,62.188,74.752,76.655,54.509
volume_z_6b,111.717,91.612,68.691,92.978,80.035,78.199
volume_z_96b,62.402,73.532,82.317,55.712,86.681,63.465
