strategy_family,use_case,feature,horizon,direction,auc_oriented,lift_spread,research_score,class
ironfly,max_abs_excursion_ge_1_5_atr,rsi_48b,12H,lower_increases_target,0.9980975029726517,-0.0011890606420927874,141.743,candidate
ironfly,max_abs_excursion_ge_1_5_atr,mfi_24b,12H,lower_increases_target,0.9978596908442331,-0.0011890606420927874,141.696,candidate
ironfly,max_abs_excursion_ge_1_5_atr,sma_slope_24b,12H,lower_increases_target,0.9976218787158145,-0.0011890606420927874,141.648,candidate
ironfly,max_abs_excursion_ge_1_5_atr,rolling_vwap_z_96b,12H,lower_increases_target,0.997384066587396,-0.0011890606420927874,141.601,candidate
ironfly,max_abs_excursion_ge_1_5_atr,di_spread_48b,12H,lower_increases_target,0.997384066587396,-0.0011890606420927874,141.601,candidate
ironfly,max_abs_excursion_ge_1_5_atr,price_efficiency_48b,12H,lower_increases_target,0.997384066587396,-0.0011890606420927874,141.601,candidate
ironfly,max_abs_excursion_ge_1_5_atr,plus_di_48b,12H,lower_increases_target,0.9971462544589774,-0.0011890606420927874,141.553,candidate
ironfly,max_abs_excursion_ge_1_5_atr,macd_hist_24_96b,12H,lower_increases_target,0.9961950059453032,-0.0011890606420927874,141.363,candidate
ironfly,max_abs_excursion_ge_1_5_atr,rolling_vwap_dist_96b,8H,lower_increases_target,0.9542045635870432,-0.0035885167464114742,141.223,candidate
ironfly,max_abs_excursion_ge_1_5_atr,ema_spread_atr_24_96b,12H,lower_increases_target,0.9950059453032105,-0.0011890606420927874,141.125,candidate
ironfly,realized_over_range_width_ge_1,atr_12b,24H,lower_increases_target,0.8008097703438205,-0.3068129503108221,156.162,candidate
ironfly,realized_over_range_width_ge_1,atr_slope_96b,24H,lower_increases_target,0.799888269392451,-0.31512931387529275,155.978,candidate
ironfly,realized_over_range_width_ge_1,rv_slope_96b,24H,lower_increases_target,0.7901234567901234,-0.3032429440124724,154.025,candidate
ironfly,realized_over_range_width_ge_1,atr_12b,12H,lower_increases_target,0.7691532433639795,-0.3270382787146847,149.831,candidate
ironfly,realized_over_range_width_ge_1,atr_pct_12b,12H,lower_increases_target,0.7594213391088958,-0.30206941741677285,147.884,candidate
ironfly,realized_over_range_width_ge_1,atr_slope_96b,12H,lower_increases_target,0.7573581226848833,-0.3104041393997079,147.472,candidate
ironfly,realized_over_range_width_ge_1,atr_pct_12b,24H,lower_increases_target,0.7896521969998672,-0.2984909380022087,145.78,candidate
ironfly,realized_over_range_width_ge_1,atr_12b,8H,lower_increases_target,0.7429611089540924,-0.30509252113666374,144.592,candidate
ironfly,realized_over_range_width_ge_1,bollinger_bandwidth_20b,24H,lower_increases_target,0.7805256869772998,-0.28897280412132376,143.002,candidate
ironfly,realized_over_range_width_ge_1,atr_24b,8H,lower_increases_target,0.7350366076876145,-0.29911165989264465,142.918,candidate
ironfly,realized_over_range_width_ge_1,atr_24b,24H,lower_increases_target,0.7824369994247533,-0.28184267682687447,142.672,candidate
ironfly,realized_over_range_width_ge_1,atr_pct_12b,8H,lower_increases_target,0.7368129125298131,-0.28834610965341023,142.197,candidate
ironfly,realized_over_range_width_ge_1,keltner_width_20b,24H,lower_increases_target,0.7789199743351476,-0.28184267682687447,141.968,candidate
ironfly,realized_over_range_width_ge_1,rv_12b,24H,lower_increases_target,0.7724478959245984,-0.2854112709391885,141.031,candidate
ironfly,realized_over_range_width_ge_1,atr_6b,24H,lower_increases_target,0.7730383534669676,-0.2699534825919827,139.603,candidate
ironfly,realized_over_range_width_ge_1,atr_pct_24b,24H,lower_increases_target,0.7700313066949865,-0.27470831297431797,139.477,candidate
ironfly,realized_over_range_width_ge_1,atr_24b,12H,lower_increases_target,0.7566861533841127,-0.3115762538093718,139.337,candidate
ironfly,realized_over_range_width_ge_1,rv_24b,24H,lower_increases_target,0.7696474401522191,-0.27233866480634694,139.163,candidate
ironfly,realized_over_range_width_ge_1,keltner_width_20b,12H,lower_increases_target,0.7537485530888699,-0.3008789445886443,138.75,candidate
ironfly,realized_over_range_width_ge_1,atr_pct_6b,24H,lower_increases_target,0.7635481658480464,-0.2628191187394263,136.992,candidate
ironfly,realized_over_range_width_ge_1,atr_pct_24b,12H,lower_increases_target,0.7466320333767504,-0.2925512835358879,136.582,candidate
ironfly,realized_over_range_width_ge_1,atr_12b,4H,lower_increases_target,0.7178113502320336,-0.2584232248918157,135.405,candidate
ironfly,realized_over_range_width_ge_1,bollinger_bandwidth_20b,12H,lower_increases_target,0.7383349189141353,-0.28898410160960963,134.565,candidate
ironfly,realized_over_range_width_ge_1,atr_slope_48b,24H,lower_increases_target,0.7493594849329617,-0.2652311324884695,134.395,candidate
ironfly,realized_over_range_width_ge_1,atr_6b,12H,lower_increases_target,0.7405951364956765,-0.281861035245339,134.305,candidate
