target,horizon,strategy_relevance,feature_set,model_family,calibration,split,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
realized_over_range_width_ge_1,4H,BOTH,step12_interactions,boosted_stumps,platt,validation,834,707,0.8477218225419664,0.1290895342380455,0.0007723286076185554,0.42664054814540875,0.5381505529630578,0.8272410811728655,1.0485814391558712e-05,,
realized_over_range_width_ge_1,4H,BOTH,all_step13,logistic,platt,validation,834,707,0.8477218225419664,0.12152019094270362,0.05936342446692078,0.4022496031455725,0.6827562396284623,0.9029578381154885,0.008604739145686213,0.03663057117915379,0.9804732311298775
realized_over_range_width_ge_1,4H,BOTH,all_step13,tree_depth2,platt,validation,834,707,0.8477218225419664,0.12155903315057658,0.05906276330834026,0.3989737592601365,0.693648442459544,0.9075887872007818,0.008320318701355996,0.05044565965524328,0.9737906072319732
realized_over_range_width_ge_1,4H,BOTH,all_step13,boosted_stumps,platt,validation,834,707,0.8477218225419664,0.12703514856465647,0.01667446215143442,0.41882191184514034,0.6803060508525544,0.9036678583428179,0.00305857511712182,-0.038328700012445406,1.0220844445663058
realized_over_range_width_ge_1,4H,BOTH,compact_deredundant,logistic,platt,validation,834,707,0.8477218225419664,0.12129559442473416,0.06110193144177456,0.4005729903819403,0.6833242379356046,0.9068052810774988,0.005972017064614645,0.02460583771556286,0.986714485075487
realized_over_range_width_ge_1,4H,BOTH,compact_deredundant,tree_depth2,platt,validation,834,707,0.8477218225419664,0.1217539088446294,0.05755431270365918,0.3994347211798185,0.6920780941986212,0.9075632238201501,0.008706231823291936,0.050555396224567756,0.9736965164259961
realized_over_range_width_ge_1,4H,BOTH,compact_deredundant,boosted_stumps,platt,validation,834,707,0.8477218225419664,0.1269088157715545,0.0176523510516996,0.4183346078727034,0.6916882914388177,0.8949880672919431,0.0032669362051245265,-0.04099669615354644,1.0236237347419066
realized_over_range_width_ge_1,8H,BOTH,step11_individuals,logistic,platt,validation,826,695,0.8414043583535109,0.1214713945136902,0.09383127455803597,0.40213181976899,0.7007633587786259,0.8880485944982681,0.0388358747656834,-0.057125259290522,1.0312913688424263
realized_over_range_width_ge_1,8H,BOTH,step11_individuals,tree_depth2,platt,validation,826,695,0.8414043583535109,0.1197286258595693,0.10683221569621448,0.3921410223303517,0.7008072930968202,0.9082138500243653,0.034305168739547885,-0.04749571102045651,1.0243957496774918
realized_over_range_width_ge_1,8H,BOTH,step11_individuals,boosted_stumps,platt,validation,826,695,0.8414043583535109,0.13058922535845177,0.025812847763225233,0.4275725397178097,0.5944423087484211,0.8687965410016566,0.040580792717668096,-0.04862463752700863,1.0284542964202763
realized_over_range_width_ge_1,8H,BOTH,step12_interactions,logistic,platt,validation,826,695,0.8414043583535109,0.12131145934003075,0.09502438058146268,0.4049697720801104,0.655445109561206,0.8933147231142511,0.017458750093818545,-0.00010884640928914033,0.9999911986116959
realized_over_range_width_ge_1,8H,BOTH,step12_interactions,tree_depth2,platt,validation,826,695,0.8414043583535109,0.12031094185163753,0.10248817615958539,0.39795327389024104,0.6521720028557307,0.8871764698265173,0.012391707227766984,-0.06157690708842052,1.0335995464496357
realized_over_range_width_ge_1,8H,BOTH,step12_interactions,boosted_stumps,platt,validation,826,695,0.8414043583535109,0.13344306430116895,0.004523394326949592,0.43733377911945087,0.49848975781207094,0.8411208231684334,1.428080677212673e-05,,
realized_over_range_width_ge_1,8H,BOTH,all_step13,logistic,platt,validation,826,695,0.8414043583535109,0.12109595736262956,0.09663201135719934,0.4022982277058708,0.6947333736064584,0.885576858466109,0.02602831207703219,-0.04213782706257387,1.0227967197259313
realized_over_range_width_ge_1,8H,BOTH,all_step13,tree_depth2,platt,validation,826,695,0.8414043583535109,0.1197286258595693,0.10683221569621448,0.3921410223303517,0.7008072930968202,0.9082138500243653,0.034305168739547885,-0.04749571102045651,1.0243957496774918
realized_over_range_width_ge_1,8H,BOTH,all_step13,boosted_stumps,platt,validation,826,695,0.8414043583535109,0.13058922535845177,0.025812847763225233,0.4275725397178097,0.5944423087484211,0.8687965410016566,0.040580792717668096,-0.04862463752700863,1.0284542964202763
