target,horizon,split,train_base_probability,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
path_inside_70,1H,validation,0.04282315622521808,840,36,0.04285714285714286,0.04102040931835645,0.0,0.1769203652045276,0.5727611940298507,0.03945853835817518,3.3986631924776134e-05,,
path_inside_70,1H,test,0.04282315622521808,842,37,0.043942992874109264,0.042013260285495437,0.0,0.18029400258440756,0.5007554137988921,0.04226609892127624,0.001119836648891183,,
path_inside_70,2H,validation,0.04206349206349207,838,37,0.0441527446300716,0.04220764474799023,0.0,0.18097765519546255,0.616290447751122,0.03587276844355527,0.002089252566579533,,
path_inside_70,2H,test,0.04206349206349207,842,40,0.047505938242280284,0.04527874429440995,0.0,0.19145840153423493,0.45885286783042395,0.05358522696948096,0.00544244617878821,,
path_inside_70,4H,validation,0.04332273449920509,834,30,0.03597122302158273,0.03473133885691991,0.0,0.15561250937373147,0.46355721393034827,0.05358755939860018,0.0073515114776223495,,
path_inside_70,4H,test,0.04332273449920509,842,40,0.047505938242280284,0.045266623267557024,0.0,0.1913100140303199,0.5106608478802993,0.05095961863468292,0.004183203743075195,,
path_inside_70,8H,validation,0.05063795853269538,826,38,0.04600484261501211,0.04390986283408675,0.0,0.18680933236168015,0.4282994923857868,0.07027577410574361,0.00463311591768327,,
path_inside_70,8H,test,0.05063795853269538,842,53,0.06294536817102138,0.0591347211288415,0.0,0.23646351640787067,0.4768156491379104,0.06509763682920512,0.012307409638326001,,
path_inside_70,12H,validation,0.0476,818,52,0.06356968215158924,0.05978360841075796,0.0,0.23923461715123537,0.5373317935328379,0.08461385907892188,0.015969682151589247,,
path_inside_70,12H,test,0.0476,842,59,0.07007125890736342,0.06566623505938243,0.0,0.25871433164869856,0.4264995562482412,0.08296164111268055,0.022471258907363414,,
path_inside_70,24H,validation,0.03836833602584814,794,36,0.04534005037783375,0.043332935010574954,0.0,0.18518217821927074,0.5916153620639109,0.03974118956503733,0.006971714351985611,,
path_inside_70,24H,test,0.03836833602584814,842,68,0.08076009501187649,0.07603496329547871,0.0,0.2992842729854029,0.41571667426660586,0.0990618506153507,0.042391758986028344,,
range_breached,1H,validation,0.957176843774782,840,804,0.9571428571428572,0.04102040931835645,0.0,0.17692036520452764,0.42723880597014924,0.9644417463723248,3.398663192466511e-05,,
range_breached,1H,test,0.957176843774782,842,805,0.9560570071258907,0.042013260285495437,0.0,0.18029400258440764,0.49924458620110795,0.9625721232348189,0.0011198366488913702,,
range_breached,2H,validation,0.957936507936508,838,801,0.9558472553699284,0.04220764474799023,0.0,0.18097765519546255,0.3837095522488781,0.9685779146189303,0.002089252566579214,,
range_breached,2H,test,0.957936507936508,842,802,0.9524940617577197,0.04527874429440993,0.0,0.19145840153423496,0.5411471321695761,0.9505188682963238,0.005442446178788196,,
range_breached,4H,validation,0.9566772655007949,834,804,0.9640287769784173,0.03473133885691991,0.0,0.15561250937373147,0.5364427860696518,0.9559008626782105,0.007351511477622252,,
range_breached,4H,test,0.9566772655007949,842,802,0.9524940617577197,0.045266623267557024,0.0,0.1913100140303199,0.48933915211970075,0.953175971414529,0.004183203743075237,,
range_breached,8H,validation,0.9493620414673046,826,788,0.9539951573849879,0.04390986283408675,0.0,0.18680933236168015,0.5717005076142132,0.9446158014894319,0.004633115917683006,,
range_breached,8H,test,0.9493620414673046,842,789,0.9370546318289786,0.0591347211288415,0.0,0.23646351640787067,0.5231843508620896,0.9401565834647005,0.012307409638326217,,
